surprisal,density,model,context_len
2.960986273714093,0.09279306522434733,boyce_ngram,bysent
2.9928248357970397,0.09301764237412319,boyce_ngram,bysent
3.024663397879987,0.09322891814789513,boyce_ngram,bysent
3.0565019599629344,0.09342907632499498,boyce_ngram,bysent
3.0883405220458817,0.09361908638485206,boyce_ngram,bysent
3.120179084128829,0.09379919941349035,boyce_ngram,bysent
3.152017646211776,0.09396971575437087,boyce_ngram,bysent
3.1838562082947233,0.09412899249537557,boyce_ngram,bysent
3.2156947703776706,0.09427937184998075,boyce_ngram,bysent
3.247533332460618,0.09442240479665871,boyce_ngram,bysent
3.279371894543565,0.09455897783025982,boyce_ngram,bysent
3.311210456626512,0.09469008613666478,boyce_ngram,bysent
3.3430490187094595,0.09481643068912085,boyce_ngram,bysent
3.374887580792407,0.09494083517574944,boyce_ngram,bysent
